Matrix,Time(ns)
TS,12757.0
Chebyshev1,6722.0
oscil_dcop_25,4944.0
cis-n4c6-b1,5068.0
nemeth21,87230.0
lnsp_511,6306.0
plsk1919,6041.0
tub100,4725.0
flower_5_1,4577.0
dynamicSoaringProblem_2,10544.0
GL7d26,7250.0
fpga_dcop_05,5526.0
aa6,9636.0
lshp_406,6136.0
rajat11,5439.0
mnist_test_norm_10NN,29037.0
lp_share1b,4561.0
beacxc,10872.0
IG5-13,15994.0
ch7-8-b1,5313.0
aug2d,17008.0
rdb968,7676.0
raefsky3,104316.0
lowThrust_8,33055.0
adder_trans_01,8547.0
Franz6,12726.0
kineticBatchReactor_8,17666.0
PGPgiantcompo,15235.0
LFAT5000,17794.0
LF10,4298.0
qa8fk,143804.0
wang3,32548.0
lp_scrs8,5659.0
stormg2-27,23655.0
lhr10c,29419.0
vt2010,65617.0
sx-mathoverflow,90568.0
mk11-b2,11687.0
oscil_dcop_29,5653.0
ch5-5-b2,5186.0
bcsstk26,9754.0
2D_27628_bjtcai,68609.0
mcfe,10509.0
bcsstm01,4495.0
Alemdar,12840.0
majorbasis,169234.0
mhd3200a,14960.0
ukerbe1,8066.0
mimo46x46_system,15816.0
GD96_c,5642.0
small,5084.0
TF10,4906.0
venkat25,135938.0
eris1176,6466.0
fpga_dcop_48,5979.0
dw8192,10918.0
n4c5-b10,4618.0
lp_nug07,5040.0
nemsemm1,71539.0
wheel_5_1,4474.0
crew1,9808.0
t60k,43965.0
cavity23,21193.0
cca,33717.0
gams60am,5273.0
lp_pilot87,13996.0
Franz1,7520.0
n4c6-b15,6148.0
ex26,14493.0
wb-cs-stanford,12446.0
ts-palko,131310.0
bcspwr01,5136.0
bips07_1998,17599.0
fs_680_3,6121.0
oscil_dcop_03,4887.0
spaceStation_1,4682.0
netz4504,5822.0
ncvxqp1,19269.0
adder_dcop_03,8655.0
delf,9126.0
ex24,13130.0
can_445,8479.0
ex35,36970.0
jazz,5796.0
boyd1,353193.0
nos7,5876.0
n4c6-b2,5849.0
oscil_dcop_44,4507.0
ck104,4738.0
relat6,5318.0
Trec7,4464.0
adder_dcop_27,6742.0
bcspwr07,5352.0
lp_ship08s,5862.0
pltexpa,22975.0
nnc666,5620.0
TSOPF_RS_b9_c6,12158.0
plat362,6524.0
Trefethen_300,4908.0
init_adder1,6514.0
lp_qap15,17039.0
Erdos981,7359.0
rosen2,9933.0
bcsstm37,8469.0
str_200,4966.0
lp_agg,4652.0
Erdos991,5059.0
lp_fffff800,5081.0
adder_dcop_61,8027.0
freeFlyingRobot_16,12438.0
har_10NN,31530.0
ww_vref_6405,14467.0
mimo28x28_system,14939.0
Trefethen_500,6888.0
delaunay_n14,24825.0
lpi_bgprtr,4397.0
lp_scsd6,5926.0
IG5-18,232845.0
fs_183_3,4412.0
e18,31324.0
