Matrix,1 Threads
08blocks,1427.0
1138_bus,5094.0
130bit,5148.0
145bit,8918.0
162bit,32194.0
176bit,108034.0
192bit,240736.0
2D_27628_bjtcai,346115.0
2cubes_sphere,1637500.0
3elt,24457.0
3elt_dual,32883.0
494_bus,2554.0
662_bus,3323.0
685_bus,3778.0
ABACUS_shell_ud,188345.0
ACTIVSg10K,220228.0
ACTIVSg2000,22054.0
ACTIVSg70K,785520.0
ASIC_320k,3349110.0
ASIC_320ks,4604990.0
ASIC_680ks,4410560.0
Alemdar,57587.0
BenElechi1,12519900.0
Binaryalphadigs_10NN,14928.0
CAG_mat1916,107804.0
CAG_mat364,9440.0
CAG_mat72,1401.0
CSphd,2857.0
California,20926.0
Chebyshev1,2435.0
Chebyshev2,14019.0
Chebyshev3,27646.0
Chem97Zt,38717.0
Chem97ZtZ,6567.0
Cities,1542.0
CollegeMsg,13899.0
CurlCurl_0,92582.0
D6-6,290634.0
DK01R,8855.0
D_10,5571.0
D_11,2590.0
D_5,2527.0
D_6,6212.0
D_7,10013.0
D_8,10818.0
D_9,8952.0
Dubcova2,719139.0
EPA,8629.0
EVA,6180.0
EX1,5942.0
EX2,5994.0
EX3,53043.0
EX4,54359.0
Ecoli_10NN,3840.0
Erdos02,17128.0
Erdos971,3051.0
Erdos972,15029.0
Erdos981,3106.0
Erdos982,15164.0
Erdos991,3226.0
Erdos992,16054.0
FA,98281.0
Fashion_MNIST_norm_10NN,220034.0
Franz1,5195.0
Franz10,102704.0
Franz2,17222.0
Franz3,9807.0
Franz4,41985.0
Franz5,36583.0
Franz6,37614.0
Franz7,26917.0
Franz8,82352.0
Franz9,103003.0
Freescale1,25161200.0
G1,25571.0
G10,24679.0
G11,2760.0
G12,2787.0
G13,2756.0
G14,7148.0
G15,7032.0
G16,7138.0
G17,7194.0
G18,7134.0
G19,7046.0
G2,24925.0
G20,7224.0
G21,7194.0
G22,29843.0
G23,29160.0
G24,27754.0
G25,27237.0
G26,30244.0
G27,29688.0
G28,29801.0
G29,27522.0
G3,24479.0
G30,27515.0
G31,28282.0
G32,6091.0
G33,5911.0
G34,5915.0
G35,16982.0
G36,16780.0
G37,16787.0
G38,17160.0
G39,16939.0
G4,25916.0
G40,16897.0
G41,17122.0
G42,16779.0
G43,12871.0
G44,13388.0
G45,13058.0
G46,13170.0
G47,13003.0
G48,8682.0
G49,8554.0
G5,24412.0
G50,8540.0
G51,8784.0
G52,8739.0
G53,8714.0
G54,8967.0
G55,27822.0
G56,33834.0
G57,13706.0
G58,73387.0
G59,65480.0
G6,24561.0
G60,58321.0
G61,53901.0
G62,18821.0
G63,110363.0
G64,111888.0
G65,21363.0
G66,23960.0
G67,26505.0
G7,24442.0
G8,24445.0
G9,24752.0
GD00_a,1261.0
GD00_c,1981.0
GD01_Acap,1395.0
GD01_a,1365.0
GD01_b,648.0
GD01_c,762.0
GD02_a,713.0
GD02_b,870.0
GD06_Java,7962.0
GD06_theory,1090.0
GD95_a,673.0
GD95_b,749.0
GD95_c,878.0
GD96_a,2870.0
GD96_b,839.0
GD96_c,844.0
GD96_d,909.0
GD97_a,891.0
GD97_b,860.0
GD97_c,1167.0
GD98_a,679.0
GD98_b,870.0
GD98_c,1054.0
GD99_b,814.0
GD99_c,826.0
GL6_D_10,2156.0
GL6_D_6,2990.0
GL6_D_7,4886.0
GL6_D_8,5118.0
GL6_D_9,3701.0
GL7d10,613.0
GL7d11,2636.0
GL7d12,64365.0
GL7d16,29442500.0
GL7d21,50012400.0
